date,price,type,bedrooms
2011-08-27,510000,house,4
2011-08-28,310000,house,3
2011-08-29,370000,house,4
2011-08-29,465000,house,4
2011-08-30,342000,house,3
2011-09-01,380000,house,3
2011-09-02,345000,house,3
2011-09-02,370000,house,4
2011-09-02,495000,house,4
2011-09-02,541000,house,4
2011-09-02,1380000,house,5
2011-09-03,372000,house,3
2011-09-03,415000,house,3
2011-09-04,335000,house,3
2011-09-04,1150000,house,5
2011-09-05,387000,house,3
2011-09-05,395000,house,3
2011-09-05,400000,house,4
2011-09-05,426000,house,3
2011-09-05,552000,house,4
2011-09-08,349000,house,3
2011-09-08,360500,house,3
2011-09-08,740000,house,3
2011-09-10,371600,house,4
2011-09-11,380000,house,3
2011-09-11,450000,house,3
2011-09-12,427000,house,4
2011-09-13,477000,house,4
2011-09-13,479000,house,3
2011-09-15,321000,house,2
2011-09-15,405000,house,3
2011-09-16,357000,house,3
2011-09-16,360000,house,4
2011-09-16,365000,house,3
2011-09-16,585000,house,4
2011-09-17,343000,house,3
2011-09-17,410000,house,3
2011-09-17,420000,house,4
2011-09-17,420000,house,3
2011-09-17,720000,house,3
2011-09-17,720000,house,5
2011-09-18,320000,house,3
2011-09-18,474000,house,4
2011-09-18,860000,house,3
2011-09-19,460000,house,3
2011-09-19,592000,house,2
2011-09-19,695000,house,5
2011-09-20,346000,house,3
2011-09-22,349950,house,3
2011-09-22,355000,house,3
2011-09-22,362000,house,3
2011-09-22,373000,house,3
2011-09-22,399000,house,4
2011-09-22,422250,house,3
2011-09-22,445000,house,3
2011-09-22,475000,house,4
2011-09-22,485000,house,5
2011-09-22,560500,house,4
2011-09-22,590000,house,4
2011-09-22,595000,house,4
2011-09-22,650000,house,3
2011-09-22,660000,house,4
2011-09-22,675000,house,4
2011-09-22,685000,house,4
2011-09-22,690000,house,4
2011-09-22,975000,house,3
2011-09-23,372000,house,3
2011-09-24,437000,house,3
2011-09-25,411000,house,3
2011-09-25,450000,house,4
2011-09-25,525000,house,2
2011-09-26,312000,house,3
2011-09-26,510000,house,4
2011-09-26,707500,house,4
2011-09-26,755000,house,4
2011-09-29,380000,house,4
2011-09-29,389000,house,3
2011-09-29,415000,house,3
2011-09-29,557000,house,4
2011-09-29,585000,house,4
2011-09-29,595000,house,2
2011-09-29,875000,house,5
2011-09-30,367500,house,4
2011-09-30,372000,house,3
2011-09-30,549000,house,3
2011-09-30,575000,house,4
